video,stereo,t,u,v,id
5010,False,29.2808493652344,0.5903326,0.5251029,30
5010,False,29.2918198242187,0.5901123,0.5250952,30
5010,False,29.3027905273437,0.5898864,0.5250375,30
5010,False,29.3140217285156,0.5896904,0.5249771,30
5010,False,29.3249924316406,0.5894738,0.5248309,30
5010,False,29.3359624023438,0.5892639,0.5248341,30
5010,False,29.34693359375,0.589071,0.5247436,30
5010,False,29.3579052734375,0.5889004,0.5246965,30
5010,False,29.3698728027344,0.5887375,0.5246242,30
5010,False,29.3808430175781,0.5885745,0.5245545,30
5010,False,29.391814453125,0.5884137,0.5245235,30
5010,False,29.4027841796875,0.5882789,0.5244474,30
5010,False,29.4132644042969,0.5881577,0.5244249,30
5010,False,29.4252319335938,0.5880294,0.5243484,30
5010,False,29.4362028808594,0.5879219,0.524315,30
5010,False,29.4481713867188,0.5878335,0.5243236,30
5010,False,29.4581442871094,0.5877405,0.5242928,30
5010,False,29.4691145019531,0.587663,0.5242224,30
5010,False,29.4800852050781,0.5876371,0.5241863,30
5010,False,29.4910561523437,0.5876073,0.5241556,30
5010,False,29.5020268554687,0.5875782,0.5240733,30
5010,False,29.5135053710938,0.5875747,0.5239327,30
5010,False,29.5244758300781,0.5875397,0.5238025,30
5010,False,29.5364436035156,0.5875777,0.5237334,30
5010,False,29.5474143066406,0.5876022,0.5236373,30
5010,False,29.5583857421875,0.5876057,0.5234701,30
5010,False,29.5693562011719,0.5876058,0.5233672,30
5010,False,29.5803264160156,0.5876083,0.5232643,30
5010,False,29.5912976074219,0.5875772,0.5230595,30
5010,False,29.6022678222656,0.5875665,0.5228154,30
5010,False,29.6142353515625,0.5875466,0.5225761,30
5010,False,29.6252065429688,0.5875264,0.5223387,30
5010,False,29.6361770019531,0.5875123,0.5221405,30
5010,False,29.6501401367188,0.5875227,0.5219284,30
5010,False,29.6591162109375,0.5875004,0.5217028,30
5010,False,29.6680922851562,0.5874949,0.5215032,30
5010,False,29.6790629882812,0.5874513,0.5212367,30
5010,False,29.6900329589844,0.5874305,0.5209795,30
5010,False,29.7010041503906,0.5873947,0.5207111,30
5010,False,29.711974609375,0.5873715,0.5203803,30
5010,False,29.7239426269531,0.5873193,0.5200195,30
5010,False,29.7349130859375,0.5872399,0.5196655,30
5010,False,29.7458840332031,0.5871942,0.5194125,30
5010,False,29.7568544921875,0.5870914,0.5190124,30
5010,False,29.7678259277344,0.5870097,0.5185744,30
5010,False,29.7787966308594,0.5869341,0.5181738,30
5010,False,29.7897666015625,0.5868549,0.5178023,30
5010,False,29.8007375488281,0.5867588,0.5173906,30
5010,False,29.8127058105469,0.5866645,0.5169436,30
5010,False,29.82367578125,0.5865189,0.51653,30
5010,False,29.834646484375,0.5864015,0.5160237,30
5010,False,29.8456174316406,0.586259,0.5155355,30
5010,False,29.8565886230469,0.5861179,0.5150703,30
5010,False,29.8675588378906,0.5859602,0.5145897,30
5010,False,29.878529296875,0.5858657,0.5141261,30
5010,False,29.8904970703125,0.5857142,0.5137175,30
5010,False,29.9014680175781,0.5855582,0.5132092,30
5010,False,29.9124392089844,0.5853813,0.5127826,30
5010,False,29.9234091796875,0.585226,0.5123718,30
5010,False,29.9343796386719,0.5850625,0.5118855,30
5010,False,29.9453503417969,0.584851,0.5115122,30
5010,False,29.9563217773437,0.5846698,0.5110488,30
5010,False,29.9682893066406,0.5844375,0.510704,30
5010,False,29.9792600097656,0.5842313,0.5103247,30
5010,False,29.99023046875,0.5839899,0.510087,30
5010,False,30.0012016601563,0.5837713,0.5098242,30
5010,False,0.104719970703125,0.3891402,0.4939118,31
